Time,Acceleration
0,0.0903
0.054,0.6703
0.101,0.5303
0.171,-1.0997
0.199,-1.0297
0.275,-0.2397
0.307,0.3903
0.365,1.0703
0.425,0.7003
0.46,-0.5797
0.528,-0.9397
0.562,-0.5197
0.62,0.1603
0.683,0.8903
0.713,0.7403
0.784,-0.1997
0.835,-0.7297
0.884,-0.6297
0.938,-0.0897
0.992,0.6503
1.026,0.7403
1.102,0.0703
1.127,-0.5097
1.187,-0.6297
1.242,-0.2497
1.292,0.4203
1.346,0.6603
1.404,0.2303
1.458,-0.3097
1.512,-0.5497
1.565,-0.3497
1.619,0.2203
1.644,0.5403
1.705,0.3303
1.759,-0.1297
1.809,-0.4497
1.862,-0.3697
1.919,0.0603
1.972,0.4103
2.026,0.3503
2.073,-0.0097
2.126,-0.3397
2.176,-0.3597
2.223,-0.0397
2.276,0.2803
2.328,0.3303
2.384,0.0903
2.443,-0.2297
2.499,-0.3197
2.527,-0.0997
2.572,0.1803
2.626,0.2803
2.706,0.1403
2.73,-0.1397
2.784,-0.2697
2.832,-0.1297
2.89,0.1003
2.944,0.2403
2.994,0.1503
3.04,-0.0797
3.116,-0.2197
3.16,-0.1497
3.206,0.0603
3.261,0.2003
3.318,0.1603
3.371,-0.0297
3.42,-0.1797
3.472,-0.1497
3.522,0.0103
3.571,0.1603
3.625,0.1503
3.679,0.0103
3.727,-0.1397
3.764,-0.1497
3.834,-0.0197
3.883,0.1203
3.934,0.1503
3.987,0.0403
4.036,-0.0997
4.09,-0.1397
4.144,-0.0397
4.192,0.0903
4.238,0.1403
4.288,0.0603
4.339,-0.0697
4.401,-0.1297
4.445,-0.0697
4.501,0.0503
4.558,0.1203
4.592,0.0803
4.647,-0.0297
4.701,-0.1097
4.759,-0.0797
4.813,0.0203
4.875,0.1103
4.903,0.0903
4.958,0.0003
5.017,-0.0897
5.076,-0.0897
5.106,-0.0097
5.166,0.0803
5.224,0.0903
5.288,0.0303
5.316,-0.0597
5.364,-0.0897
5.423,-0.0397
5.476,0.0503
5.533,0.0903
5.586,0.0503
5.64,-0.0297
5.7,-0.0797
5.727,-0.0497
5.796,0.0203
5.85,0.0703
5.878,0.0603
5.94,0.0003
5.99,-0.0597
6.044,-0.0597
6.094,0.0003
6.145,0.0503
6.201,0.0703
6.248,0.0203
6.293,-0.0397
6.352,-0.0597
6.406,-0.0197
6.459,0.0303
6.519,0.0603
6.556,0.0303
6.613,-0.0097
6.666,-0.0397
6.719,-0.0297
6.764,0.0103
6.809,0.0503
6.862,0.0403
6.932,0.0003
6.984,-0.0397
7.03,-0.0297
7.078,0.0003
7.131,0.0303
7.177,0.0403
7.234,0.0103
7.29,-0.0197
7.343,-0.0397
7.396,-0.0097
7.444,0.0203
7.489,0.0303
7.535,0.0203
7.588,0.0003
7.638,-0.0297
7.694,-0.0197
7.749,0.0103
7.795,0.0303
7.852,0.0203
7.91,0.0103
7.966,-0.0197
8.016,-0.0197
8.064,0.0003
8.113,0.0203
8.16,0.0203
8.213,0.0103
8.259,-0.0097
8.311,-0.0197
8.379,-0.0097
8.425,0.0103
8.48,0.0203
8.53,0.0103
8.58,-0.0097
8.629,-0.0097
8.689,-0.0097
8.743,0.0003
8.802,0.0203
8.829,0.0103
8.884,0.0003
8.937,-0.0097
8.985,-0.0097
9.036,0.0003
9.087,0.0103
9.146,0.0203
9.205,0.0003
9.255,0.0003
9.314,-0.0097
9.343,0.0003
9.394,0.0103
9.448,0.0103
